run,DMC_Method,Nmcmc_1e4,band_max,band_min,calc_mode,maxOrder,n_meas,prefix,sign_im,sign_re,temper_first_line
research/mainline/LINEAR/2026-09-14/recovery/runs/off_baseline,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/LINEAR/2026-09-14/recovery/runs/off_candidate,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/LINEAR/2026-09-14/recovery/runs/shadow_prop_0,0,20,1,1,diagmc-EZ,500,1500,lif-sp3,0.0,0.976,1 T
research/mainline/LINEAR/2026-09-14/recovery/runs/shadow_prop_1,0,20,1,1,diagmc-EZ,500,1500,lif-sp3,0.0,0.988,1 T
research/mainline/QREF/2026-09-13/runs/dev_b0_01,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.9369333333333333,1 T
research/mainline/QREF/2026-09-13/runs/dev_b0_02,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.94508,1 T
research/mainline/QREF/2026-09-13/runs/dev_b0_03,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.9223466666666666,1 T
research/mainline/QREF/2026-09-13/runs/dev_b0_04,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.9577733333333334,1 T
research/mainline/QREF/2026-09-13/runs/reference_b0_01,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.9486666666666667,1 T
research/mainline/QREF/2026-09-13/runs/reference_b0_02,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.9383866666666667,1 T
research/mainline/QREF/2026-09-13/runs/reference_b0_03,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.9483066666666666,1 T
research/mainline/QREF/2026-09-13/runs/reference_b0_04,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.9089066666666666,1 T
research/mainline/QREF/2026-09-13/runs/reference_b0_05,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.9446666666666667,1 T
research/mainline/QREF/2026-09-13/runs/reference_b0_06,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.9458133333333333,1 T
research/mainline/QREF/2026-09-13/runs/reference_b0_07,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.95176,1 T
research/mainline/QREF/2026-09-13/runs/reference_b0_08,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.9487333333333333,1 T
research/mainline/QREF/2026-09-13/runs/reference_b0_09,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.9493866666666667,1 T
research/mainline/QREF/2026-09-13/runs/reference_b0_10,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.9530933333333333,1 T
research/mainline/QREF/2026-09-13/runs/reference_b0_11,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.8971733333333334,1 T
research/mainline/QREF/2026-09-13/runs/reference_b0_12,0,2000,1,1,diagmc-EZ,500,150000,lif-sp3,0.0,0.9478133333333333,1 T
